,budget_degrees,budget_relevance,budget_costs,claim
Gwyneth Paltrow /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,91,0.5048122112173657,91,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Joseph Fiennes /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,60,0.5048381964222449,60,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Simon Callow,67,0.5049467856866289,67,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Antony Sher,79,0.5050010205457709,79,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award BAFTA Award for Best Actor in a Leading Role,7,0.5050119867008288,7,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
BAFTA Award for Best Direction /award/award_category/winners./award/award_honor/award_winner Ben Affleck,78,0.5050141322523416,78,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Jim Carter /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,86,0.5050821938179525,86,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jim Carter,67,0.5052531216772524,67,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Simon Callow /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,63,0.5055140405538563,63,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Simon Callow,79,0.5057364569288618,79,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Shakespeare in Love /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,127,0.5208698778909728,127,Ben Affleck /film/actor/film./film/performance/film Shakespeare in Love
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award MTV Movie Award for Best Kiss,7,0.5009127845160753,7,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend Barack Obama,86,0.5012017465338787,86,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Josh Hartnett,67,0.5013872349429876,67,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Good Will Hunting /film/film/written_by Ben Affleck,62,0.5014580446876092,62,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Jennifer Lopez,79,0.5015646168183608,79,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Jennifer Lopez /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,96,0.5017827673703779,96,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Argo /film/film/produced_by Ben Affleck,123,0.5022470799794025,123,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Gigli,65,0.5026005272022446,65,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Liv Tyler,67,0.5032605662679025,67,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Gigli /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,41,0.5038626617645412,41,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /people/person/profession television producer,40,0.5040357428529381,40,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Daredevil /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,45,0.5046127917947293,45,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
70th Academy Awards /award/award_ceremony/awards_presented./award/award_honor/award_winner Ben Affleck,9,0.5055669629792968,9,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Golden Raspberry Award for Worst Actor /award/award_category/winners./award/award_honor/award_winner Ben Affleck,68,0.5057400327365174,68,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Jersey Girl,65,0.5057415822529857,65,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Daredevil,65,0.5063544666561139,65,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Kate Beckinsale /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,62,0.5075743364141181,62,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Golden Raspberry Award for Worst Screen Couple/Ensemble /award/award_category/winners./award/award_honor/award_winner Ben Affleck,129,0.5079327125335127,129,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Kate Beckinsale,67,0.5083584150782255,67,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Golden Raspberry Award for Worst Screen Couple/Ensemble,7,0.5133963940518613,7,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Pearl Harbor,65,0.53829818777918,65,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /film/actor/film./film/performance/film Argo,111,1.5012526485938342,111,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /film/actor/film./film/performance/film Dogma,111,1.504019769844716,111,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /film/actor/film./film/performance/film Gigli,111,1.5130558131841227,111,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
Ben Affleck /film/actor/film./film/performance/film Jersey Girl,111,1.515868697004112,111,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
